Profesional,Categoría CIE-10,Sub-Motivo (etiqueta usuario),Motivo Técnico (base de datos)
Silvia Núñez Mora,Relaciones familia pareja y crianza,Conflictos de pareja / comunicación / celos / infidelidad,Problemas RelacionalesFamiliares y de Pareja
Silvia Núñez Mora,Relaciones familia pareja y crianza,Dificultades de crianza y límites,Problemas RelacionalesFamiliares y de Pareja
Silvia Núñez Mora,Relaciones familia pareja y crianza,Problemas familiares o de convivencia,Problemas RelacionalesFamiliares y de Pareja
Silvia Núñez Mora,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Silvia Núñez Mora,Sueño y malestar físico ligado a lo emocional,Insomnio o sueño poco reparador,Problemas de Sueño / Insomnio
Silvia Núñez Mora,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Silvia Núñez Mora,Ánimo bajo desmotivación y cambios de humor,Cambios de ánimo intensos,Cambios de humor intensos
Silvia Núñez Mora,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Silvia Núñez Mora,Ánimo bajo desmotivación y cambios de humor,Irritabilidad sostenida,Cambios de humor intensos
Silvia Núñez Mora,Ánimo bajo desmotivación y cambios de humor,Me cuesta disfrutar / siento vacío,Depresión / tristeza persistente
Silvia Núñez Mora,Ánimo bajo desmotivación y cambios de humor,Tristeza persistente / llanto frecuente,Depresión / tristeza persistente
Silvia Núñez Mora,Ánimo bajo desmotivación y cambios de humor,Ánimo bajo desde hace mucho tiempo,Distimia (Depresión Persistente)
Sofia Arias Irribarra,Ansiedad nervios y estrés,Crisis de pánico / crisis de angustia,Ataques de Pánico / Crisis de Angustia
Sofia Arias Irribarra,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Sofia Arias Irribarra,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Sofia Arias Irribarra,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Sofia Arias Irribarra,Atención aprendizaje y neurodesarrollo,Dificultad para concentrarme / distraibilidad,TDAH (Niños Adolescentes Adultos)
Sofia Arias Irribarra,Atención aprendizaje y neurodesarrollo,Dificultades de aprendizaje (lectura/escritura/matemática),Dificultades de Aprendizaje
Sofia Arias Irribarra,Atención aprendizaje y neurodesarrollo,Dificultades escolares (rendimiento o adaptación),Dificultades de Aprendizaje
Sofia Arias Irribarra,Atención aprendizaje y neurodesarrollo,Dificultades sociales o sensoriales desde siempre,Trastorno del Espectro Autista (TEA) - nivel leve
Sofia Arias Irribarra,Atención aprendizaje y neurodesarrollo,Problemas de organización y procrastinación,TDAH (Niños Adolescentes Adultos)
Sofia Arias Irribarra,Autoestima habilidades y crecimiento personal,Autoestima baja / inseguridad personal,Baja Autoestima / Inseguridad Personal
Sofia Arias Irribarra,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Sofia Arias Irribarra,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Sofia Arias Irribarra,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Sofia Arias Irribarra,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Sofia Arias Irribarra,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Sofia Arias Irribarra,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Sofia Arias Irribarra,Experiencias difíciles trauma y violencia,Dificultad para adaptarme después de un evento,Traumas Psicológicos / Pérdidas Traumáticas
Sofia Arias Irribarra,Impulsos consumo y conductas que me preocupan,Autolesiones o pensamientos de hacerme daño,Conductas Autolesivas
Sofia Arias Irribarra,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Sofia Arias Irribarra,Sexualidad e intimidad,Ansiedad culpa o vergüenza asociada a sexualidad,Sexualidad (disfunciones orientación identidad)
Sofia Arias Irribarra,Sexualidad e intimidad,Dificultades en sexualidad o intimidad,Sexualidad (disfunciones orientación identidad)
Sofia Arias Irribarra,Sexualidad e intimidad,Identidad/orientación y bienestar,Sexualidad (disfunciones orientación identidad)
Sofia Arias Irribarra,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Sofia Arias Irribarra,Sueño y malestar físico ligado a lo emocional,Insomnio o sueño poco reparador,Problemas de Sueño / Insomnio
Sofia Arias Irribarra,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Sofia Arias Irribarra,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Sofia Arias Irribarra,Ánimo bajo desmotivación y cambios de humor,Me cuesta disfrutar / siento vacío,Depresión / tristeza persistente
Sofia Arias Irribarra,Ánimo bajo desmotivación y cambios de humor,Tristeza persistente / llanto frecuente,Depresión / tristeza persistente
Sofia Arias Irribarra,Ánimo bajo desmotivación y cambios de humor,Ánimo bajo desde hace mucho tiempo,Distimia (Depresión Persistente)
